id,title,company,location,industry,experience_level,experience_min,experience_max,required_skills,nice_to_have_skills,description,salary_min,salary_max,job_type,remote,source
1,Leasing Manager,Waahe Capital,United States,Real Estate,Mid-level,2,5,Sales|Management|Marketing,,"Waahe Capital is seeking a remote Portfolio Leasing Manager to join our property management team. As a Leasing Manager, you will oversee all aspects of leasing and marketing of all the properties. The Leasing Manager will set leasing goals and develop a strategic marketing plan for achieving planned occupancy. The Leasing Manager is responsible for effectively hiring and leading the leasing team for effective leasing, marketing, and positive resident relations. Essential Duties & ResponsibilitiesMeet occupancy goals for all the communities by motivating, engaging, and inspiring the property management team to exceed expectationsMaintain detailed knowledge of local market and conditions and assist in developing marketing plans that incorporate advertising, internet, outreach marketing and referrals to increase the visibility of the communitiesTriage resident complaints, concerns, and requests to ensure resident satisfactionDevelop and implement resident retention programs (i.e., residen",100000,100000,FULL_TIME,True,linkedin_2023_2024
2,Pega Developer,Photon,"Plano, TX",IT Services and IT Consulting,Mid-level,2,5,Engineering|Information Technology|Finance,,"Summary of Essential Job FunctionsLead and own the implementation of decisioning logic enhancement roadmap to generate increasing business valueExpert in PegaRULES engine and Pega Customer Decision HubExpert in Pega Financial FrameworksEnterprise Application System UnderstandingDemonstrated strong experience in Pega's Customer Decision Hub version 8.5 and above and Next Best Action Designer implementationFull life cycle application/Agile developmentLead technical design, code, and debug applications in Pega and various software languagesDrive continuous improvement of decisioning logicMaintain compliance standardsPerformance tuningPRPC experience is required Position RequirementsAt least 10+ years of hands-on experience working with Pega's Customer Decision HubAt least 8+ year of programming and software development life cycles (Waterfall, Agile, Scrum)BA/BS in Computer Science or Software Engineering.Certification as Certified Senior system architect is a must. LSA Certification Prefe",800000,1500000,CONTRACT,False,linkedin_2023_2024
3,Warehouse Assoc I - Ssc,Dal-Tile LLC,"Stoughton, MA",Wholesale Building Materials,Entry,0,2,Management|Manufacturing,,"Join the largest manufacturer of tile and natural stone in the United States and watch your career stand out with Dal-Tile, a subsidiary of Mohawk Industries. Our close-knit team of dedicated professionals has made us the success we are today. In exchange for their hard work, we support our people with a family-friendly work environment, a commitment to promoting from within, unique benefits that go beyond just medical and dental, and a belief that every employee deserves a productive life outside of work. If this sounds outstanding to you, take the first step forward and explore a career with Dal-Tile. Dal-Tile is currently seeking an exceptional Warehouse Associate to join our TEAM! As the Warehouse Associate we need someone who will own a variety of material handling duties such as receiving, loading/unloading material, pull/assemble customers’ orders and inventory checks. This position involves daily use of forklift equipment. Primary Objective Performs a variety of material handli",800000,1500000,FULL_TIME,False,linkedin_2023_2024
4,Sales Manager,J. Galt,"Medford, OR",Financial Services,Mid-level,2,5,Sales|Business Development,,"Position Summary: Our Sales Manager has managing partnerresponsibilities for a team of 5-25 Executive Consultants in marketing J.Galt's SaaS memberships and consulting services. In addition, the ManagingPartner/Sales Manager represents J. Galt in attracting memberships throughchannel partners, strategic alliances, chambers of commerce, and state,trade, and professional associations. Our Mission: We believe in helping small and medium-sized businessessucceed. It is tragic that most business owners carry the credit needs oftheir business. They often rely on personal credit cards, or they signpersonally for the business to access the funding, equipment, or facilities thebusiness requires to operate. What We Do: J. Galt Finance Suite offers a SaaS platform and consultativeservices to small and medium-sized business owners. Our system includes aproven 7-step process to build credit for a business around the business EINwithout personal guarantees or using the owner’s personal credit profile",800000,1500000,FULL_TIME,True,linkedin_2023_2024
5,Full Stack Software Engineer,Earth Robotics,"Miami, FL",Consumer Electronics,Mid-level,2,5,Engineering|Information Technology,,"Company DescriptionEarth Robotics is a pioneering company in the field of autonomous AI robots. Our mission is to reinvent robotics and artificial intelligence to eliminate repetitive, unsafe, and time-consuming tasks, ultimately making the future safer, cleaner, and more enjoyable for everyone. We are continually expanding our solutions to include new services that anticipate and address future needs. Role DescriptionWe are looking for a self-motivated, energetic, and seasoned software engineer with a strong background in developing advanced solutions for web applications. You'll be at the forefront, working closely with an engineering team and liaising with product, design, content, and business groups to deliver software solutions. Our team values innovative thinking and superb communication skills. Key QualificationsProfessional development environment experience. ( 3+ years )Proficiency in Java, PHP, JavaScript, HTML, CSS, and related technologies.Strong relational database skills",100000,100000,FULL_TIME,False,linkedin_2023_2024
6,Accountant,KellyMitchell Group,"Columbus, OH",IT Services and IT Consulting,Entry/Mid,1,3,Consulting|Information Technology|Other,,"Job Summary:Our client is seeking an Accountant who will review, research, and resolve variances in Investor Reporting utilizing interna and external systems and reports. This is an onsite role located in Columbus, OH. Duties:Respond to investor inquiries regarding reporting or remittance differences, escalating inquiries when requiredAggregate loan activity from various sources into summary remittance reportsRemit calculated funds due to investors within specified time framesReconcile all loans daily per Investors to ensure data integrity of the loan portfolioWork with Investor Accounting to clear outstanding reconciling items in custodial accounts by performing monthly custodial account reconciliations, balancing cash received to the expectations of the investor in accordance with the most current investor guidelinesRemain up to date on Investor RequirementsHandle internal and external problems and exceptions while actively seeking out ways to improve and fix broken processes with ma",800000,1500000,CONTRACT,False,linkedin_2023_2024
7,Level Ii Registered Nurse (Rn) - Med Surg - $32-52 Per Hour - R102966,Vivian Health,"Grafton, WI",Internet Marketplace Platforms,Mid-level,2,5,Health Care Provider,,"Advocate Aurora Health is seeking a Registered Nurse (RN) Med Surg Level II for a nursing job in Grafton, Wisconsin. Job Description & Requirements Specialty: Med SurgDiscipline: RNDuration: Ongoing24 hours per weekShift: daysEmployment Type: Staff Major Responsibilities: Assists RN with daily care of patients including bathing, oral hygiene, feeding, activity orders and ambulation which may include use of therapeutic assistive devices, proper positioning, range of motion and special transferring as indicated. Measures and documents blood pressures, TPRs (Temperature, Pulse, Respiration), I & O (Intake and Output), daily weights, and other patient data as requested. Documents accurately in Electronic Medical Record (EMR). Participates in admission, transfer and discharge process under supervision of RN including room set up, orientation to room, removing linen, and proper management of patient belongings. Ensures patient call light is always in reach of patient and answers call-lights ",800000,1500000,PART_TIME,False,linkedin_2023_2024
8,Inside Licensed Sales Agent,National General,United States,Insurance,Entry/Mid,1,3,Sales|Business Development,,"Job Description National General Insurance is an Allstate Business Want to grow your sales career with one of the fastest growing insurers in the country!? Start a new career in a performance-driven environment where you’re recognized and rewarded for your results? If you are ready to start working in a fun & exciting environment where making a difference matters, then apply to join our team today! What makes National General Insurance unique? Work from the comfort of your own home!$700 licensing bonus (when hired already possessing a Property & Casualty insurance license with the ability to sell personal & commercial insurance)1st year earning potential $45k to $55k2nd year earning potential $65k to 70k3rd – 4th year earning potential $80k to $100k+Hourly base rate OR uncapped commission (whichever is greater of the two)!No charge backs!4 weeks of PTO plus paid holidays!Comprehensive, curriculum based, paid training program!Entrepreneurial, performance-based, and results-focused cultu",800000,1500000,FULL_TIME,True,linkedin_2023_2024
9,Endoscope Sterile Processing Technician Ii,Massachusetts General Hospital,"Boston, MA",Hospitals and Health Care,Entry,0,2,Health Care Provider,,"Central Sterile Endoscope Processing Technician 2 Schedule: 9:00am to 5:30pm, Monday to Friday Schedule 9:00am to 5:30pm, Monday to Friday. Weekend rotation. MGH is offering a generous $5,000 sign-on bonus! General Summary Under the guidance of the CSPS Endoscopy Processing Manager, the Central Sterile Endoscope Processing Technician 2 independently performs core responsibilities in the Endoscope Sterile Processing Department. This includes receiving, decontamination, assembly, packaging, sterilization, and inventory management of reusable medical devices. Principle Duties And Responsibilities Decontamination and Cleaning of Reusable Medical Devices: Utilize approved personal protective equipment (PPE) during all tasks. Receive, decontaminate, and document the arrival and cleaning process of equipment, instruments, scopes, and supplies. Disassemble items as needed and select appropriate cleaning methods. Identify items in need of repair and maintain information during the cleaning proc",800000,1500000,FULL_TIME,False,linkedin_2023_2024
10,Delivery Specialist,Rent-A-Center,"Edinburg, TX",Retail,Entry,0,2,Distribution|Manufacturing|Product Management,,"Rent A Center Ready to do your best work? Interested in a starting hourly rate up to $12? Why should I apply in just a few clicks? Paid Time Off and Sunday Off -- We are Closed! Full-Time Employment and a Consistent Schedule Weekly Pay (companywide) Award Winning Culture with the Opportunity to Advance Great Benefits Medical, Dental, Vision, life Insurance, Supplemental Life Insurance, Spouse/Dependent Life Insurance, Short Term Disability, Long Term Disability, Flexible Spending Accounts, 401(k) Savings Plan w/company match, Paid Time Off, Legal Insurance, Identity Theft Protection Plan, Health Savings Accounts, Hospital Indemnity, Critical Illness, Accident Insurance, Limited Purpose Plan What will you do? Provide customers access to high-quality goods that enhance their quality of life. You will do meaningful work and make a difference in our customers' lives! A day in the life of a Delivery Specialist: Customer Service: Provide friendly, top-notch customer experiences through ""whit",800000,1500000,FULL_TIME,False,linkedin_2023_2024
